Rodada: 1, Jogador: 0, carta da vez: 11♣, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 253 cartas.
Rodada: 37, Jogador: 2, carta da vez: 04♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - ,  baralho tem 217 cartas.
Rodada: 38, Jogador: 2, carta da vez: 04♣, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - ,  baralho tem 216 cartas.
Rodada: 39, Jogador: 2, carta da vez: 01♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - ,  baralho tem 215 cartas.
Rodada: 40, Jogador: 2, carta da vez: 05♣, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - ,  baralho tem 214 cartas.
Rodada: 41, Jogador: 2, carta da vez: 07♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - ,  baralho tem 213 cartas.
Rodada: 42, Jogador: 2, carta da vez: 03♦, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - ,  baralho tem 212 cartas.
Rodada: 43, Jogador: 2, carta da vez: 13♦, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 10 - ,  baralho tem 211 cartas.
Rodada: 44, Jogador: 2, carta da vez: 10♦, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 11 - ,  baralho tem 210 cartas.
Rodada: 45, Jogador: 2, carta da vez: 05♥, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 12 - ,  baralho tem 209 cartas.
Rodada: 46, Jogador: 2, carta da vez: 10♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 13 - ,  baralho tem 208 cartas.
Rodada: 47, Jogador: 2, carta da vez: 02♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 14 - ,  baralho tem 207 cartas.
Rodada: 48, Jogador: 2, carta da vez: 07♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 15 - ,  baralho tem 206 cartas.
Rodada: 49, Jogador: 2, carta da vez: 08♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 16 - ,  baralho tem 205 cartas.
Rodada: 50, Jogador: 2, carta da vez: 09♥, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 17 - ,  baralho tem 204 cartas.
Rodada: 51, Jogador: 2, carta da vez: 12♦, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 18 - ,  baralho tem 203 cartas.
Rodada: 52, Jogador: 2, carta da vez: 03♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 19 - ,  baralho tem 202 cartas.
Rodada: 53, Jogador: 2, carta da vez: 11♦, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 20 - ,  baralho tem 201 cartas.
Rodada: 54, Jogador: 2, carta da vez: 08♦, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 21 - ,  baralho tem 200 cartas.
Rodada: 55, Jogador: 2, carta da vez: 08♥, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 22 - ,  baralho tem 199 cartas.
Rodada: 56, Jogador: 2, carta da vez: 02♦, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 23 - ,  baralho tem 198 cartas.
Rodada: 57, Jogador: 2, carta da vez: 12♦, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 24 - ,  baralho tem 197 cartas.
Rodada: 58, Jogador: 2, carta da vez: 07♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 25 - ,  baralho tem 196 cartas.
Rodada: 59, Jogador: 2, carta da vez: 03♥, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 26 - ,  baralho tem 195 cartas.
Rodada: 60, Jogador: 2, carta da vez: 08♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 27 - ,  baralho tem 194 cartas.
Rodada: 61, Jogador: 2, carta da vez: 11♣, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 28 - ,  baralho tem 193 cartas.
Rodada: 62, Jogador: 2, carta da vez: 10♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 29 - ,  baralho tem 192 cartas.
Rodada: 63, Jogador: 2, carta da vez: 01♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 30 - ,  baralho tem 191 cartas.
Rodada: 64, Jogador: 2, carta da vez: 03♦, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 31 - ,  baralho tem 190 cartas.
Rodada: 65, Jogador: 2, carta da vez: 13♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 32 - ,  baralho tem 189 cartas.
Rodada: 66, Jogador: 2, carta da vez: 13♦, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 33 - ,  baralho tem 188 cartas.
Rodada: 67, Jogador: 2, carta da vez: 04♣, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 34 - ,  baralho tem 187 cartas.
Rodada: 68, Jogador: 2, carta da vez: 05♥, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 35 - ,  baralho tem 186 cartas.
Rodada: 69, Jogador: 2, carta da vez: 07♥, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 36 - ,  baralho tem 185 cartas.
Rodada: 70, Jogador: 2, carta da vez: 01♣, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 37 - ,  baralho tem 184 cartas.
Rodada: 71, Jogador: 2, carta da vez: 09♣, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 38 - ,  baralho tem 183 cartas.
Rodada: 72, Jogador: 2, carta da vez: 06♣, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 39 - ,  baralho tem 182 cartas.
Rodada: 73, Jogador: 2, carta da vez: 06♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 40 - ,  baralho tem 181 cartas.
Rodada: 74, Jogador: 2, carta da vez: 09♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 41 - ,  baralho tem 180 cartas.
Rodada: 75, Jogador: 2, carta da vez: 05♣, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 42 - ,  baralho tem 179 cartas.
Rodada: 76, Jogador: 2, carta da vez: 12♦, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 43 - ,  baralho tem 178 cartas.
Rodada: 77, Jogador: 2, carta da vez: 04♥, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 44 - ,  baralho tem 177 cartas.
Rodada: 78, Jogador: 2, carta da vez: 07♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 45 - ,  baralho tem 176 cartas.
Rodada: 79, Jogador: 2, carta da vez: 09♣, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 46 - ,  baralho tem 175 cartas.
Rodada: 80, Jogador: 2, carta da vez: 07♦, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 47 - ,  baralho tem 174 cartas.
Rodada: 81, Jogador: 2, carta da vez: 03♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 48 - ,  baralho tem 173 cartas.
Rodada: 82, Jogador: 2, carta da vez: 08♣, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 49 - ,  baralho tem 172 cartas.
Rodada: 83, Jogador: 2, carta da vez: 10♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 50 - ,  baralho tem 171 cartas.
Rodada: 84, Jogador: 2, carta da vez: 03♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 51 - ,  baralho tem 170 cartas.
Rodada: 85, Jogador: 2, carta da vez: 01♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 52 - ,  baralho tem 169 cartas.
Rodada: 86, Jogador: 2, carta da vez: 07♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 53 - ,  baralho tem 168 cartas.
Rodada: 87, Jogador: 2, carta da vez: 03♦, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 54 - ,  baralho tem 167 cartas.
Rodada: 88, Jogador: 2, carta da vez: 05♣, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 55 - ,  baralho tem 166 cartas.
Rodada: 89, Jogador: 2, carta da vez: 08♣, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 56 - ,  baralho tem 165 cartas.
Rodada: 90, Jogador: 2, carta da vez: 11♥, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 57 - ,  baralho tem 164 cartas.
Rodada: 91, Jogador: 2, carta da vez: 09♥, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 58 - ,  baralho tem 163 cartas.
Rodada: 92, Jogador: 2, carta da vez: 12♣, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 59 - ,  baralho tem 162 cartas.
Rodada: 93, Jogador: 2, carta da vez: 04♣, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 60 - ,  baralho tem 161 cartas.
Rodada: 94, Jogador: 2, carta da vez: 09♦, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 61 - ,  baralho tem 160 cartas.
Rodada: 95, Jogador: 2, carta da vez: 01♣, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 62 - ,  baralho tem 159 cartas.
Rodada: 96, Jogador: 2, carta da vez: 12♥, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 63 - ,  baralho tem 158 cartas.
Rodada: 97, Jogador: 2, carta da vez: 01♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 64 - ,  baralho tem 157 cartas.
Rodada: 98, Jogador: 2, carta da vez: 10♦, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 65 - ,  baralho tem 156 cartas.
Rodada: 99, Jogador: 2, carta da vez: 03♦, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 66 - ,  baralho tem 155 cartas.
Rodada: 100, Jogador: 2, carta da vez: 13♣, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 67 - ,  baralho tem 154 cartas.
Rodada: 101, Jogador: 2, carta da vez: 09♦, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 68 - ,  baralho tem 153 cartas.
Rodada: 102, Jogador: 2, carta da vez: 09♥, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 69 - ,  baralho tem 152 cartas.
Rodada: 103, Jogador: 2, carta da vez: 02♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 70 - ,  baralho tem 151 cartas.
Rodada: 104, Jogador: 2, carta da vez: 02♦, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 71 - ,  baralho tem 150 cartas.
Rodada: 105, Jogador: 2, carta da vez: 08♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 72 - ,  baralho tem 149 cartas.
Rodada: 106, Jogador: 2, carta da vez: 11♣, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 73 - ,  baralho tem 148 cartas.
Rodada: 107, Jogador: 2, carta da vez: 01♦, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 74 - ,  baralho tem 147 cartas.
Rodada: 108, Jogador: 2, carta da vez: 10♦, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 75 - ,  baralho tem 146 cartas.
Rodada: 109, Jogador: 2, carta da vez: 03♥, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 76 - ,  baralho tem 145 cartas.
Rodada: 110, Jogador: 2, carta da vez: 12♣, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 77 - ,  baralho tem 144 cartas.
Rodada: 111, Jogador: 2, carta da vez: 02♥, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 78 - ,  baralho tem 143 cartas.
Rodada: 112, Jogador: 2, carta da vez: 11♥, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 79 - ,  baralho tem 142 cartas.
Rodada: 113, Jogador: 2, carta da vez: 13♣, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 80 - ,  baralho tem 141 cartas.
Rodada: 114, Jogador: 2, carta da vez: 04♣, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 81 - ,  baralho tem 140 cartas.
Rodada: 115, Jogador: 2, carta da vez: 09♥, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 82 - ,  baralho tem 139 cartas.
Rodada: 116, Jogador: 2, carta da vez: 02♥, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 83 - ,  baralho tem 138 cartas.
Rodada: 117, Jogador: 2, carta da vez: 05♦, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 84 - ,  baralho tem 137 cartas.
Rodada: 118, Jogador: 2, carta da vez: 07♦, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 85 - ,  baralho tem 136 cartas.
Rodada: 119, Jogador: 2, carta da vez: 01♥, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 86 - ,  baralho tem 135 cartas.
Rodada: 120, Jogador: 2, carta da vez: 05♦, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 87 - ,  baralho tem 134 cartas.
Rodada: 121, Jogador: 2, carta da vez: 13♥, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 88 - ,  baralho tem 133 cartas.
Rodada: 122, Jogador: 2, carta da vez: 11♦, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 89 - ,  baralho tem 132 cartas.
Rodada: 123, Jogador: 2, carta da vez: 02♣, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 90 - ,  baralho tem 131 cartas.
Rodada: 124, Jogador: 2, carta da vez: 06♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 91 - ,  baralho tem 130 cartas.
Rodada: 125, Jogador: 2, carta da vez: 08♥, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 92 - ,  baralho tem 129 cartas.
Rodada: 126, Jogador: 2, carta da vez: 03♥, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 93 - ,  baralho tem 128 cartas.
Rodada: 127, Jogador: 2, carta da vez: 13♦, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 94 - ,  baralho tem 127 cartas.
Rodada: 128, Jogador: 2, carta da vez: 11♣, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 95 - ,  baralho tem 126 cartas.
Rodada: 129, Jogador: 2, carta da vez: 10♠, maiores montes Jogador: jogador 0 - Total de cartas: 4 - Jogador: jogador 1 - Total de cartas: 10 - Jogador: jogador 2 - Total de cartas: 96 - ,  baralho tem 125 cartas.
