Rodada: 1, Jogador: 0, carta da vez: 12♠, maiores montes Jogador: jogador 0 com total de 2 cartas - ,  baralho tem 998 cartas.
Rodada: 21, Jogador: 1, carta da vez: 07♥, maiores montes Jogador: jogador 0 com total de 5 cartas - Jogador: jogador 1 com total de 8 cartas - ,  baralho tem 978 cartas.
Rodada: 22, Jogador: 0, carta da vez: 11♥, maiores montes Jogador: jogador 0 com total de 5 cartas - Jogador: jogador 1 com total de 8 cartas - ,  baralho tem 977 cartas.
Rodada: 23, Jogador: 0, carta da vez: 12♣, maiores montes Jogador: jogador 0 com total de 6 cartas - Jogador: jogador 1 com total de 8 cartas - ,  baralho tem 976 cartas.
Rodada: 24, Jogador: 0, carta da vez: 08♠, maiores montes Jogador: jogador 0 com total de 7 cartas - Jogador: jogador 1 com total de 8 cartas - ,  baralho tem 975 cartas.
Rodada: 25, Jogador: 0, carta da vez: 07♣, maiores montes Jogador: jogador 0 com total de 8 cartas - Jogador: jogador 1 com total de 8 cartas - ,  baralho tem 974 cartas.
Rodada: 26, Jogador: 1, carta da vez: 04♠, maiores montes Jogador: jogador 0 com total de 8 cartas - Jogador: jogador 1 com total de 8 cartas - ,  baralho tem 973 cartas.
Rodada: 27, Jogador: 1, carta da vez: 10♠, maiores montes Jogador: jogador 0 com total de 8 cartas - Jogador: jogador 1 com total de 9 cartas - ,  baralho tem 972 cartas.
Rodada: 28, Jogador: 1, carta da vez: 01♦, maiores montes Jogador: jogador 0 com total de 8 cartas - Jogador: jogador 1 com total de 10 cartas - ,  baralho tem 971 cartas.
Rodada: 29, Jogador: 1, carta da vez: 13♠, maiores montes Jogador: jogador 0 com total de 8 cartas - Jogador: jogador 1 com total de 11 cartas - ,  baralho tem 970 cartas.
Rodada: 30, Jogador: 1, carta da vez: 04♥, maiores montes Jogador: jogador 0 com total de 8 cartas - Jogador: jogador 1 com total de 12 cartas - ,  baralho tem 969 cartas.
Rodada: 31, Jogador: 1, carta da vez: 03♠, maiores montes Jogador: jogador 0 com total de 8 cartas - Jogador: jogador 1 com total de 13 cartas - ,  baralho tem 968 cartas.
Rodada: 32, Jogador: 1, carta da vez: 13♥, maiores montes Jogador: jogador 0 com total de 8 cartas - Jogador: jogador 1 com total de 14 cartas - ,  baralho tem 967 cartas.
Rodada: 33, Jogador: 1, carta da vez: 07♦, maiores montes Jogador: jogador 0 com total de 8 cartas - Jogador: jogador 1 com total de 15 cartas - ,  baralho tem 966 cartas.
Rodada: 34, Jogador: 1, carta da vez: 11♠, maiores montes Jogador: jogador 0 com total de 8 cartas - Jogador: jogador 1 com total de 16 cartas - ,  baralho tem 965 cartas.
Rodada: 35, Jogador: 1, carta da vez: 10♠, maiores montes Jogador: jogador 0 com total de 8 cartas - Jogador: jogador 1 com total de 17 cartas - ,  baralho tem 964 cartas.
Rodada: 36, Jogador: 1, carta da vez: 01♦, maiores montes Jogador: jogador 0 com total de 8 cartas - Jogador: jogador 1 com total de 18 cartas - ,  baralho tem 963 cartas.
Rodada: 37, Jogador: 1, carta da vez: 02♣, maiores montes Jogador: jogador 0 com total de 8 cartas - Jogador: jogador 1 com total de 19 cartas - ,  baralho tem 962 cartas.
Rodada: 38, Jogador: 1, carta da vez: 05♥, maiores montes Jogador: jogador 0 com total de 8 cartas - Jogador: jogador 1 com total de 20 cartas - ,  baralho tem 961 cartas.
Rodada: 39, Jogador: 1, carta da vez: 02♣, maiores montes Jogador: jogador 0 com total de 8 cartas - Jogador: jogador 1 com total de 21 cartas - ,  baralho tem 960 cartas.
Rodada: 40, Jogador: 1, carta da vez: 08♥, maiores montes Jogador: jogador 0 com total de 8 cartas - Jogador: jogador 1 com total de 22 cartas - ,  baralho tem 959 cartas.
Rodada: 41, Jogador: 1, carta da vez: 03♥, maiores montes Jogador: jogador 0 com total de 8 cartas - Jogador: jogador 1 com total de 23 cartas - ,  baralho tem 958 cartas.
Rodada: 42, Jogador: 0, carta da vez: 09♣, maiores montes Jogador: jogador 0 com total de 8 cartas - Jogador: jogador 1 com total de 23 cartas - ,  baralho tem 957 cartas.
Rodada: 43, Jogador: 0, carta da vez: 01♣, maiores montes Jogador: jogador 0 com total de 9 cartas - Jogador: jogador 1 com total de 23 cartas - ,  baralho tem 956 cartas.
Rodada: 44, Jogador: 0, carta da vez: 10♦, maiores montes Jogador: jogador 0 com total de 10 cartas - Jogador: jogador 1 com total de 23 cartas - ,  baralho tem 955 cartas.
Rodada: 45, Jogador: 0, carta da vez: 11♦, maiores montes Jogador: jogador 0 com total de 11 cartas - Jogador: jogador 1 com total de 23 cartas - ,  baralho tem 954 cartas.
Rodada: 46, Jogador: 0, carta da vez: 09♣, maiores montes Jogador: jogador 0 com total de 12 cartas - Jogador: jogador 1 com total de 23 cartas - ,  baralho tem 953 cartas.
Rodada: 47, Jogador: 0, carta da vez: 12♥, maiores montes Jogador: jogador 0 com total de 13 cartas - Jogador: jogador 1 com total de 23 cartas - ,  baralho tem 952 cartas.
Rodada: 48, Jogador: 0, carta da vez: 05♠, maiores montes Jogador: jogador 0 com total de 14 cartas - Jogador: jogador 1 com total de 23 cartas - ,  baralho tem 951 cartas.
Rodada: 49, Jogador: 0, carta da vez: 10♦, maiores montes Jogador: jogador 0 com total de 15 cartas - Jogador: jogador 1 com total de 23 cartas - ,  baralho tem 950 cartas.
Rodada: 50, Jogador: 0, carta da vez: 10♣, maiores montes Jogador: jogador 0 com total de 16 cartas - Jogador: jogador 1 com total de 23 cartas - ,  baralho tem 949 cartas.
Rodada: 51, Jogador: 0, carta da vez: 08♣, maiores montes Jogador: jogador 0 com total de 17 cartas - Jogador: jogador 1 com total de 23 cartas - ,  baralho tem 948 cartas.
Rodada: 52, Jogador: 0, carta da vez: 05♥, maiores montes Jogador: jogador 0 com total de 18 cartas - Jogador: jogador 1 com total de 23 cartas - ,  baralho tem 947 cartas.
Rodada: 53, Jogador: 0, carta da vez: 10♥, maiores montes Jogador: jogador 0 com total de 19 cartas - Jogador: jogador 1 com total de 23 cartas - ,  baralho tem 946 cartas.
Rodada: 54, Jogador: 0, carta da vez: 12♣, maiores montes Jogador: jogador 0 com total de 20 cartas - Jogador: jogador 1 com total de 23 cartas - ,  baralho tem 945 cartas.
Rodada: 55, Jogador: 0, carta da vez: 08♣, maiores montes Jogador: jogador 0 com total de 21 cartas - Jogador: jogador 1 com total de 23 cartas - ,  baralho tem 944 cartas.
Rodada: 56, Jogador: 0, carta da vez: 12♥, maiores montes Jogador: jogador 0 com total de 22 cartas - Jogador: jogador 1 com total de 23 cartas - ,  baralho tem 943 cartas.
Rodada: 57, Jogador: 0, carta da vez: 04♠, maiores montes Jogador: jogador 0 com total de 23 cartas - Jogador: jogador 1 com total de 23 cartas - ,  baralho tem 942 cartas.
Rodada: 58, Jogador: 0, carta da vez: 04♥, maiores montes Jogador: jogador 0 com total de 24 cartas - ,  baralho tem 941 cartas.
Rodada: 59, Jogador: 0, carta da vez: 10♦, maiores montes Jogador: jogador 0 com total de 25 cartas - ,  baralho tem 940 cartas.
Rodada: 60, Jogador: 0, carta da vez: 03♣, maiores montes Jogador: jogador 0 com total de 26 cartas - ,  baralho tem 939 cartas.
Rodada: 61, Jogador: 0, carta da vez: 03♣, maiores montes Jogador: jogador 0 com total de 27 cartas - ,  baralho tem 938 cartas.
Rodada: 62, Jogador: 0, carta da vez: 11♦, maiores montes Jogador: jogador 0 com total de 28 cartas - ,  baralho tem 937 cartas.
Rodada: 63, Jogador: 0, carta da vez: 06♦, maiores montes Jogador: jogador 0 com total de 29 cartas - ,  baralho tem 936 cartas.
Rodada: 64, Jogador: 0, carta da vez: 13♣, maiores montes Jogador: jogador 0 com total de 30 cartas - ,  baralho tem 935 cartas.
Rodada: 65, Jogador: 0, carta da vez: 07♥, maiores montes Jogador: jogador 0 com total de 31 cartas - ,  baralho tem 934 cartas.
Rodada: 66, Jogador: 0, carta da vez: 03♠, maiores montes Jogador: jogador 0 com total de 32 cartas - ,  baralho tem 933 cartas.
Rodada: 67, Jogador: 0, carta da vez: 01♠, maiores montes Jogador: jogador 0 com total de 33 cartas - ,  baralho tem 932 cartas.
Rodada: 68, Jogador: 0, carta da vez: 09♥, maiores montes Jogador: jogador 0 com total de 34 cartas - ,  baralho tem 931 cartas.
Rodada: 69, Jogador: 0, carta da vez: 13♠, maiores montes Jogador: jogador 0 com total de 35 cartas - ,  baralho tem 930 cartas.
Rodada: 70, Jogador: 0, carta da vez: 10♠, maiores montes Jogador: jogador 0 com total de 36 cartas - ,  baralho tem 929 cartas.
Rodada: 71, Jogador: 0, carta da vez: 08♠, maiores montes Jogador: jogador 0 com total de 37 cartas - ,  baralho tem 928 cartas.
Rodada: 72, Jogador: 0, carta da vez: 04♦, maiores montes Jogador: jogador 0 com total de 38 cartas - ,  baralho tem 927 cartas.
Rodada: 73, Jogador: 0, carta da vez: 06♦, maiores montes Jogador: jogador 0 com total de 39 cartas - ,  baralho tem 926 cartas.
Rodada: 74, Jogador: 0, carta da vez: 13♦, maiores montes Jogador: jogador 0 com total de 40 cartas - ,  baralho tem 925 cartas.
Rodada: 75, Jogador: 0, carta da vez: 10♥, maiores montes Jogador: jogador 0 com total de 41 cartas - ,  baralho tem 924 cartas.
Rodada: 76, Jogador: 0, carta da vez: 04♣, maiores montes Jogador: jogador 0 com total de 42 cartas - ,  baralho tem 923 cartas.
Rodada: 77, Jogador: 0, carta da vez: 01♠, maiores montes Jogador: jogador 0 com total de 43 cartas - ,  baralho tem 922 cartas.
Rodada: 78, Jogador: 0, carta da vez: 09♦, maiores montes Jogador: jogador 0 com total de 44 cartas - ,  baralho tem 921 cartas.
Rodada: 79, Jogador: 0, carta da vez: 03♦, maiores montes Jogador: jogador 0 com total de 45 cartas - ,  baralho tem 920 cartas.
Rodada: 80, Jogador: 0, carta da vez: 09♥, maiores montes Jogador: jogador 0 com total de 46 cartas - ,  baralho tem 919 cartas.
Rodada: 81, Jogador: 0, carta da vez: 13♣, maiores montes Jogador: jogador 0 com total de 47 cartas - ,  baralho tem 918 cartas.
Rodada: 82, Jogador: 0, carta da vez: 04♥, maiores montes Jogador: jogador 0 com total de 48 cartas - ,  baralho tem 917 cartas.
Rodada: 83, Jogador: 0, carta da vez: 11♦, maiores montes Jogador: jogador 0 com total de 49 cartas - ,  baralho tem 916 cartas.
Rodada: 84, Jogador: 0, carta da vez: 11♥, maiores montes Jogador: jogador 0 com total de 50 cartas - ,  baralho tem 915 cartas.
Rodada: 85, Jogador: 0, carta da vez: 11♣, maiores montes Jogador: jogador 0 com total de 51 cartas - ,  baralho tem 914 cartas.
Rodada: 86, Jogador: 0, carta da vez: 04♦, maiores montes Jogador: jogador 0 com total de 52 cartas - ,  baralho tem 913 cartas.
Rodada: 87, Jogador: 0, carta da vez: 05♥, maiores montes Jogador: jogador 0 com total de 53 cartas - ,  baralho tem 912 cartas.
Rodada: 88, Jogador: 0, carta da vez: 13♠, maiores montes Jogador: jogador 0 com total de 54 cartas - ,  baralho tem 911 cartas.
Rodada: 89, Jogador: 0, carta da vez: 10♥, maiores montes Jogador: jogador 0 com total de 55 cartas - ,  baralho tem 910 cartas.
Rodada: 90, Jogador: 0, carta da vez: 05♣, maiores montes Jogador: jogador 0 com total de 56 cartas - ,  baralho tem 909 cartas.
Rodada: 91, Jogador: 0, carta da vez: 12♦, maiores montes Jogador: jogador 0 com total de 57 cartas - ,  baralho tem 908 cartas.
Rodada: 92, Jogador: 0, carta da vez: 12♦, maiores montes Jogador: jogador 0 com total de 58 cartas - ,  baralho tem 907 cartas.
Rodada: 93, Jogador: 0, carta da vez: 05♥, maiores montes Jogador: jogador 0 com total de 59 cartas - ,  baralho tem 906 cartas.
Rodada: 94, Jogador: 0, carta da vez: 04♦, maiores montes Jogador: jogador 0 com total de 60 cartas - ,  baralho tem 905 cartas.
Rodada: 95, Jogador: 0, carta da vez: 01♣, maiores montes Jogador: jogador 0 com total de 61 cartas - ,  baralho tem 904 cartas.
Rodada: 96, Jogador: 0, carta da vez: 07♥, maiores montes Jogador: jogador 0 com total de 62 cartas - ,  baralho tem 903 cartas.
Rodada: 97, Jogador: 0, carta da vez: 02♠, maiores montes Jogador: jogador 0 com total de 63 cartas - ,  baralho tem 902 cartas.
Rodada: 98, Jogador: 0, carta da vez: 01♠, maiores montes Jogador: jogador 0 com total de 64 cartas - ,  baralho tem 901 cartas.
Rodada: 99, Jogador: 0, carta da vez: 02♣, maiores montes Jogador: jogador 0 com total de 65 cartas - ,  baralho tem 900 cartas.
Rodada: 100, Jogador: 0, carta da vez: 03♠, maiores montes Jogador: jogador 0 com total de 66 cartas - ,  baralho tem 899 cartas.
Rodada: 101, Jogador: 0, carta da vez: 10♥, maiores montes Jogador: jogador 0 com total de 67 cartas - ,  baralho tem 898 cartas.
Rodada: 102, Jogador: 0, carta da vez: 09♠, maiores montes Jogador: jogador 0 com total de 68 cartas - ,  baralho tem 897 cartas.
Rodada: 103, Jogador: 0, carta da vez: 04♠, maiores montes Jogador: jogador 0 com total de 69 cartas - ,  baralho tem 896 cartas.
Rodada: 104, Jogador: 0, carta da vez: 10♠, maiores montes Jogador: jogador 0 com total de 70 cartas - ,  baralho tem 895 cartas.
Rodada: 105, Jogador: 0, carta da vez: 01♣, maiores montes Jogador: jogador 0 com total de 71 cartas - ,  baralho tem 894 cartas.
Rodada: 106, Jogador: 0, carta da vez: 10♠, maiores montes Jogador: jogador 0 com total de 72 cartas - ,  baralho tem 893 cartas.
Rodada: 107, Jogador: 0, carta da vez: 12♦, maiores montes Jogador: jogador 0 com total de 73 cartas - ,  baralho tem 892 cartas.
Rodada: 108, Jogador: 0, carta da vez: 02♦, maiores montes Jogador: jogador 0 com total de 74 cartas - ,  baralho tem 891 cartas.
Rodada: 109, Jogador: 0, carta da vez: 05♥, maiores montes Jogador: jogador 0 com total de 75 cartas - ,  baralho tem 890 cartas.
Rodada: 110, Jogador: 0, carta da vez: 03♠, maiores montes Jogador: jogador 0 com total de 76 cartas - ,  baralho tem 889 cartas.
Rodada: 111, Jogador: 0, carta da vez: 02♣, maiores montes Jogador: jogador 0 com total de 77 cartas - ,  baralho tem 888 cartas.
Rodada: 112, Jogador: 0, carta da vez: 07♣, maiores montes Jogador: jogador 0 com total de 78 cartas - ,  baralho tem 887 cartas.
Rodada: 113, Jogador: 0, carta da vez: 10♦, maiores montes Jogador: jogador 0 com total de 79 cartas - ,  baralho tem 886 cartas.
Rodada: 114, Jogador: 0, carta da vez: 06♠, maiores montes Jogador: jogador 0 com total de 80 cartas - ,  baralho tem 885 cartas.
Rodada: 115, Jogador: 0, carta da vez: 12♠, maiores montes Jogador: jogador 0 com total de 81 cartas - ,  baralho tem 884 cartas.
Rodada: 116, Jogador: 0, carta da vez: 11♠, maiores montes Jogador: jogador 0 com total de 82 cartas - ,  baralho tem 883 cartas.
Rodada: 117, Jogador: 0, carta da vez: 06♥, maiores montes Jogador: jogador 0 com total de 83 cartas - ,  baralho tem 882 cartas.
Rodada: 118, Jogador: 0, carta da vez: 07♦, maiores montes Jogador: jogador 0 com total de 84 cartas - ,  baralho tem 881 cartas.
Rodada: 119, Jogador: 0, carta da vez: 09♥, maiores montes Jogador: jogador 0 com total de 85 cartas - ,  baralho tem 880 cartas.
Rodada: 120, Jogador: 0, carta da vez: 01♣, maiores montes Jogador: jogador 0 com total de 86 cartas - ,  baralho tem 879 cartas.
Rodada: 121, Jogador: 0, carta da vez: 05♥, maiores montes Jogador: jogador 0 com total de 87 cartas - ,  baralho tem 878 cartas.
Rodada: 122, Jogador: 0, carta da vez: 02♣, maiores montes Jogador: jogador 0 com total de 88 cartas - ,  baralho tem 877 cartas.
Rodada: 123, Jogador: 0, carta da vez: 12♥, maiores montes Jogador: jogador 0 com total de 89 cartas - ,  baralho tem 876 cartas.
Rodada: 124, Jogador: 0, carta da vez: 03♦, maiores montes Jogador: jogador 0 com total de 90 cartas - ,  baralho tem 875 cartas.
Rodada: 125, Jogador: 0, carta da vez: 04♣, maiores montes Jogador: jogador 0 com total de 91 cartas - ,  baralho tem 874 cartas.
Rodada: 126, Jogador: 0, carta da vez: 07♥, maiores montes Jogador: jogador 0 com total de 92 cartas - ,  baralho tem 873 cartas.
Rodada: 127, Jogador: 0, carta da vez: 06♥, maiores montes Jogador: jogador 0 com total de 93 cartas - ,  baralho tem 872 cartas.
Rodada: 128, Jogador: 0, carta da vez: 03♣, maiores montes Jogador: jogador 0 com total de 94 cartas - ,  baralho tem 871 cartas.
Rodada: 129, Jogador: 0, carta da vez: 10♣, maiores montes Jogador: jogador 0 com total de 95 cartas - ,  baralho tem 870 cartas.
Rodada: 130, Jogador: 0, carta da vez: 06♦, maiores montes Jogador: jogador 0 com total de 96 cartas - ,  baralho tem 869 cartas.
Rodada: 131, Jogador: 0, carta da vez: 08♠, maiores montes Jogador: jogador 0 com total de 97 cartas - ,  baralho tem 868 cartas.
Rodada: 132, Jogador: 0, carta da vez: 13♣, maiores montes Jogador: jogador 0 com total de 98 cartas - ,  baralho tem 867 cartas.
Rodada: 133, Jogador: 0, carta da vez: 07♦, maiores montes Jogador: jogador 0 com total de 99 cartas - ,  baralho tem 866 cartas.
Rodada: 134, Jogador: 0, carta da vez: 09♦, maiores montes Jogador: jogador 0 com total de 100 cartas - ,  baralho tem 865 cartas.
Rodada: 135, Jogador: 0, carta da vez: 05♠, maiores montes Jogador: jogador 0 com total de 101 cartas - ,  baralho tem 864 cartas.
Rodada: 136, Jogador: 0, carta da vez: 11♦, maiores montes Jogador: jogador 0 com total de 102 cartas - ,  baralho tem 863 cartas.
Rodada: 137, Jogador: 0, carta da vez: 09♦, maiores montes Jogador: jogador 0 com total de 103 cartas - ,  baralho tem 862 cartas.
Rodada: 138, Jogador: 0, carta da vez: 09♠, maiores montes Jogador: jogador 0 com total de 104 cartas - ,  baralho tem 861 cartas.
Rodada: 139, Jogador: 0, carta da vez: 03♣, maiores montes Jogador: jogador 0 com total de 105 cartas - ,  baralho tem 860 cartas.
Rodada: 140, Jogador: 0, carta da vez: 08♥, maiores montes Jogador: jogador 0 com total de 106 cartas - ,  baralho tem 859 cartas.
Rodada: 141, Jogador: 0, carta da vez: 08♥, maiores montes Jogador: jogador 0 com total de 107 cartas - ,  baralho tem 858 cartas.
Rodada: 142, Jogador: 0, carta da vez: 01♥, maiores montes Jogador: jogador 0 com total de 108 cartas - ,  baralho tem 857 cartas.
Rodada: 143, Jogador: 0, carta da vez: 06♠, maiores montes Jogador: jogador 0 com total de 109 cartas - ,  baralho tem 856 cartas.
Rodada: 144, Jogador: 0, carta da vez: 13♥, maiores montes Jogador: jogador 0 com total de 110 cartas - ,  baralho tem 855 cartas.
Rodada: 145, Jogador: 0, carta da vez: 04♣, maiores montes Jogador: jogador 0 com total de 111 cartas - ,  baralho tem 854 cartas.
Rodada: 146, Jogador: 0, carta da vez: 09♦, maiores montes Jogador: jogador 0 com total de 112 cartas - ,  baralho tem 853 cartas.
Rodada: 147, Jogador: 0, carta da vez: 10♠, maiores montes Jogador: jogador 0 com total de 113 cartas - ,  baralho tem 852 cartas.
Rodada: 148, Jogador: 0, carta da vez: 08♣, maiores montes Jogador: jogador 0 com total de 114 cartas - ,  baralho tem 851 cartas.
Rodada: 149, Jogador: 0, carta da vez: 09♣, maiores montes Jogador: jogador 0 com total de 115 cartas - ,  baralho tem 850 cartas.
Rodada: 150, Jogador: 0, carta da vez: 07♣, maiores montes Jogador: jogador 0 com total de 116 cartas - ,  baralho tem 849 cartas.
Rodada: 151, Jogador: 0, carta da vez: 09♦, maiores montes Jogador: jogador 0 com total de 117 cartas - ,  baralho tem 848 cartas.
Rodada: 152, Jogador: 0, carta da vez: 03♦, maiores montes Jogador: jogador 0 com total de 118 cartas - ,  baralho tem 847 cartas.
Rodada: 153, Jogador: 0, carta da vez: 13♦, maiores montes Jogador: jogador 0 com total de 119 cartas - ,  baralho tem 846 cartas.
Rodada: 154, Jogador: 0, carta da vez: 04♦, maiores montes Jogador: jogador 0 com total de 120 cartas - ,  baralho tem 845 cartas.
Rodada: 155, Jogador: 0, carta da vez: 12♦, maiores montes Jogador: jogador 0 com total de 121 cartas - ,  baralho tem 844 cartas.
Rodada: 156, Jogador: 0, carta da vez: 03♣, maiores montes Jogador: jogador 0 com total de 122 cartas - ,  baralho tem 843 cartas.
Rodada: 157, Jogador: 0, carta da vez: 04♣, maiores montes Jogador: jogador 0 com total de 123 cartas - ,  baralho tem 842 cartas.
Rodada: 158, Jogador: 0, carta da vez: 11♦, maiores montes Jogador: jogador 0 com total de 124 cartas - ,  baralho tem 841 cartas.
Rodada: 159, Jogador: 0, carta da vez: 13♦, maiores montes Jogador: jogador 0 com total de 125 cartas - ,  baralho tem 840 cartas.
Rodada: 160, Jogador: 0, carta da vez: 08♣, maiores montes Jogador: jogador 0 com total de 126 cartas - ,  baralho tem 839 cartas.
Rodada: 161, Jogador: 0, carta da vez: 07♣, maiores montes Jogador: jogador 0 com total de 127 cartas - ,  baralho tem 838 cartas.
Rodada: 162, Jogador: 0, carta da vez: 04♣, maiores montes Jogador: jogador 0 com total de 128 cartas - ,  baralho tem 837 cartas.
Rodada: 163, Jogador: 0, carta da vez: 06♦, maiores montes Jogador: jogador 0 com total de 129 cartas - ,  baralho tem 836 cartas.
Rodada: 164, Jogador: 0, carta da vez: 01♠, maiores montes Jogador: jogador 0 com total de 130 cartas - ,  baralho tem 835 cartas.
Rodada: 165, Jogador: 0, carta da vez: 11♦, maiores montes Jogador: jogador 0 com total de 131 cartas - ,  baralho tem 834 cartas.
Rodada: 166, Jogador: 0, carta da vez: 10♣, maiores montes Jogador: jogador 0 com total de 132 cartas - ,  baralho tem 833 cartas.
Rodada: 167, Jogador: 0, carta da vez: 09♥, maiores montes Jogador: jogador 0 com total de 133 cartas - ,  baralho tem 832 cartas.
Rodada: 168, Jogador: 0, carta da vez: 05♣, maiores montes Jogador: jogador 0 com total de 134 cartas - ,  baralho tem 831 cartas.
Rodada: 169, Jogador: 0, carta da vez: 08♠, maiores montes Jogador: jogador 0 com total de 135 cartas - ,  baralho tem 830 cartas.
Rodada: 170, Jogador: 0, carta da vez: 01♣, maiores montes Jogador: jogador 0 com total de 136 cartas - ,  baralho tem 829 cartas.
Rodada: 171, Jogador: 0, carta da vez: 12♥, maiores montes Jogador: jogador 0 com total de 137 cartas - ,  baralho tem 828 cartas.
Rodada: 172, Jogador: 0, carta da vez: 01♦, maiores montes Jogador: jogador 0 com total de 138 cartas - ,  baralho tem 827 cartas.
Rodada: 173, Jogador: 0, carta da vez: 13♥, maiores montes Jogador: jogador 0 com total de 139 cartas - ,  baralho tem 826 cartas.
Rodada: 174, Jogador: 0, carta da vez: 04♠, maiores montes Jogador: jogador 0 com total de 140 cartas - ,  baralho tem 825 cartas.
Rodada: 175, Jogador: 0, carta da vez: 08♠, maiores montes Jogador: jogador 0 com total de 141 cartas - ,  baralho tem 824 cartas.
Rodada: 176, Jogador: 0, carta da vez: 03♥, maiores montes Jogador: jogador 0 com total de 142 cartas - ,  baralho tem 823 cartas.
Rodada: 177, Jogador: 0, carta da vez: 13♦, maiores montes Jogador: jogador 0 com total de 143 cartas - ,  baralho tem 822 cartas.
Rodada: 178, Jogador: 0, carta da vez: 04♠, maiores montes Jogador: jogador 0 com total de 144 cartas - ,  baralho tem 821 cartas.
Rodada: 179, Jogador: 0, carta da vez: 02♣, maiores montes Jogador: jogador 0 com total de 145 cartas - ,  baralho tem 820 cartas.
Rodada: 180, Jogador: 0, carta da vez: 01♣, maiores montes Jogador: jogador 0 com total de 146 cartas - ,  baralho tem 819 cartas.
Rodada: 181, Jogador: 0, carta da vez: 13♥, maiores montes Jogador: jogador 0 com total de 147 cartas - ,  baralho tem 818 cartas.
Rodada: 182, Jogador: 0, carta da vez: 11♦, maiores montes Jogador: jogador 0 com total de 148 cartas - ,  baralho tem 817 cartas.
Rodada: 183, Jogador: 0, carta da vez: 04♥, maiores montes Jogador: jogador 0 com total de 149 cartas - ,  baralho tem 816 cartas.
Rodada: 184, Jogador: 0, carta da vez: 08♦, maiores montes Jogador: jogador 0 com total de 150 cartas - ,  baralho tem 815 cartas.
Rodada: 185, Jogador: 0, carta da vez: 03♠, maiores montes Jogador: jogador 0 com total de 151 cartas - ,  baralho tem 814 cartas.
Rodada: 186, Jogador: 0, carta da vez: 02♠, maiores montes Jogador: jogador 0 com total de 152 cartas - ,  baralho tem 813 cartas.
Rodada: 187, Jogador: 0, carta da vez: 02♦, maiores montes Jogador: jogador 0 com total de 153 cartas - ,  baralho tem 812 cartas.
