Rodada: 1, Jogador: 0, carta da vez: 03♣, maiores montes Jogador: jogador 0 - Total de cartas: 2 - ,  baralho tem 50 cartas.
Rodada: 15, Jogador: 0, carta da vez: 05♥, maiores montes Jogador: jogador 0 - Total de cartas: 5 - ,  baralho tem 36 cartas.
Rodada: 16, Jogador: 1, carta da vez: 01♣, maiores montes Jogador: jogador 0 - Total de cartas: 5 - ,  baralho tem 35 cartas.
Rodada: 17, Jogador: 1, carta da vez: 11♦, maiores montes Jogador: jogador 0 - Total de cartas: 5 - ,  baralho tem 34 cartas.
Rodada: 18, Jogador: 1, carta da vez: 11♠, maiores montes Jogador: jogador 0 - Total de cartas: 5 - ,  baralho tem 33 cartas.
Rodada: 19, Jogador: 1, carta da vez: 10♣, maiores montes Jogador: jogador 0 - Total de cartas: 5 - ,  baralho tem 32 cartas.
Rodada: 20, Jogador: 1, carta da vez: 02♦, maiores montes Jogador: jogador 0 - Total de cartas: 5 - Jogador: jogador 1 - Total de cartas: 5 - ,  baralho tem 31 cartas.
Rodada: 21, Jogador: 1, carta da vez: 06♥, maiores montes Jogador: jogador 0 - Total de cartas: 5 - Jogador: jogador 1 - Total de cartas: 6 - ,  baralho tem 30 cartas.
Rodada: 22, Jogador: 1, carta da vez: 02♣, maiores montes Jogador: jogador 0 - Total de cartas: 5 - Jogador: jogador 1 - Total de cartas: 7 - ,  baralho tem 29 cartas.
Rodada: 23, Jogador: 1, carta da vez: 09♥, maiores montes Jogador: jogador 0 - Total de cartas: 5 - Jogador: jogador 1 - Total de cartas: 8 - ,  baralho tem 28 cartas.
Rodada: 24, Jogador: 1, carta da vez: 12♥, maiores montes Jogador: jogador 0 - Total de cartas: 5 - Jogador: jogador 1 - Total de cartas: 9 - ,  baralho tem 27 cartas.
Rodada: 25, Jogador: 1, carta da vez: 07♣, maiores montes Jogador: jogador 0 - Total de cartas: 5 - Jogador: jogador 1 - Total de cartas: 10 - ,  baralho tem 26 cartas.
Rodada: 26, Jogador: 1, carta da vez: 01♠, maiores montes Jogador: jogador 0 - Total de cartas: 5 - Jogador: jogador 1 - Total de cartas: 11 - ,  baralho tem 25 cartas.
Rodada: 27, Jogador: 0, carta da vez: 13♦, maiores montes Jogador: jogador 0 - Total de cartas: 5 - Jogador: jogador 1 - Total de cartas: 11 - ,  baralho tem 24 cartas.
Rodada: 28, Jogador: 0, carta da vez: 05♣, maiores montes Jogador: jogador 0 - Total de cartas: 6 - Jogador: jogador 1 - Total de cartas: 11 - ,  baralho tem 23 cartas.
Rodada: 29, Jogador: 0, carta da vez: 03♦, maiores montes Jogador: jogador 0 - Total de cartas: 7 - Jogador: jogador 1 - Total de cartas: 11 - ,  baralho tem 22 cartas.
Rodada: 30, Jogador: 0, carta da vez: 10♠, maiores montes Jogador: jogador 0 - Total de cartas: 8 - Jogador: jogador 1 - Total de cartas: 11 - ,  baralho tem 21 cartas.
Rodada: 31, Jogador: 0, carta da vez: 09♣, maiores montes Jogador: jogador 0 - Total de cartas: 9 - Jogador: jogador 1 - Total de cartas: 11 - ,  baralho tem 20 cartas.
Rodada: 32, Jogador: 0, carta da vez: 08♥, maiores montes Jogador: jogador 0 - Total de cartas: 10 - Jogador: jogador 1 - Total de cartas: 11 - ,  baralho tem 19 cartas.
Rodada: 33, Jogador: 0, carta da vez: 05♠, maiores montes Jogador: jogador 0 - Total de cartas: 11 - Jogador: jogador 1 - Total de cartas: 11 - ,  baralho tem 18 cartas.
Rodada: 34, Jogador: 0, carta da vez: 06♣, maiores montes Jogador: jogador 0 - Total de cartas: 12 - ,  baralho tem 17 cartas.
Rodada: 35, Jogador: 0, carta da vez: 05♦, maiores montes Jogador: jogador 0 - Total de cartas: 13 - ,  baralho tem 16 cartas.
Rodada: 36, Jogador: 0, carta da vez: 07♦, maiores montes Jogador: jogador 0 - Total de cartas: 14 - ,  baralho tem 15 cartas.
Rodada: 37, Jogador: 0, carta da vez: 13♣, maiores montes Jogador: jogador 0 - Total de cartas: 15 - ,  baralho tem 14 cartas.
Rodada: 38, Jogador: 0, carta da vez: 02♠, maiores montes Jogador: jogador 0 - Total de cartas: 16 - ,  baralho tem 13 cartas.
Rodada: 39, Jogador: 0, carta da vez: 01♦, maiores montes Jogador: jogador 0 - Total de cartas: 17 - ,  baralho tem 12 cartas.
Rodada: 40, Jogador: 0, carta da vez: 13♥, maiores montes Jogador: jogador 0 - Total de cartas: 18 - ,  baralho tem 11 cartas.
Rodada: 41, Jogador: 0, carta da vez: 13♠, maiores montes Jogador: jogador 0 - Total de cartas: 19 - ,  baralho tem 10 cartas.
Rodada: 42, Jogador: 0, carta da vez: 09♠, maiores montes Jogador: jogador 0 - Total de cartas: 20 - ,  baralho tem 9 cartas.
Rodada: 43, Jogador: 0, carta da vez: 08♠, maiores montes Jogador: jogador 0 - Total de cartas: 21 - ,  baralho tem 8 cartas.
Rodada: 44, Jogador: 0, carta da vez: 04♦, maiores montes Jogador: jogador 0 - Total de cartas: 22 - ,  baralho tem 7 cartas.
Rodada: 45, Jogador: 0, carta da vez: 08♦, maiores montes Jogador: jogador 0 - Total de cartas: 23 - ,  baralho tem 6 cartas.
Rodada: 46, Jogador: 0, carta da vez: 04♠, maiores montes Jogador: jogador 0 - Total de cartas: 24 - ,  baralho tem 5 cartas.
Rodada: 47, Jogador: 0, carta da vez: 10♥, maiores montes Jogador: jogador 0 - Total de cartas: 25 - ,  baralho tem 4 cartas.
Rodada: 48, Jogador: 0, carta da vez: 12♦, maiores montes Jogador: jogador 0 - Total de cartas: 26 - ,  baralho tem 3 cartas.
Rodada: 49, Jogador: 0, carta da vez: 04♣, maiores montes Jogador: jogador 0 - Total de cartas: 27 - ,  baralho tem 2 cartas.
Rodada: 50, Jogador: 0, carta da vez: 03♠, maiores montes Jogador: jogador 0 - Total de cartas: 28 - ,  baralho tem 1 cartas.
Rodada: 51, Jogador: 0, carta da vez: 11♥, maiores montes Jogador: jogador 0 - Total de cartas: 29 - ,  baralho tem 0 cartas.
